fingerprint_id,n_nodes,n_parameters,attention_variant,norm_type,payload,first_seen_at
0dd2836105bbcca5,350,81920256,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":100},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":100,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":350,""n_parameters"":81920256,""norm_type"":""layernorm"",""op_histogram"":{""Add"":63,""And"":2,""Cast"":4,""Concat"":1,""Constant"":88,""ConstantOfShape"":3,""Div"":6,""Equal"":2,""Erf"":6,""Expand"":2,""Flatten"":1,""Gather"":4,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":28,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":14},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,128,768]}}",2026-08-08 15:32:00.28847-04
ec4afc55a765d02c,585,81920256,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":100},""hidden_size"":null,""input_shapes"":{""attention_mask"":[""batch"",""sequence""],""input_ids"":[""batch"",""sequence""]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":100,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":585,""n_parameters"":81920256,""norm_type"":""layernorm"",""op_histogram"":{""Add"":63,""And"":2,""Cast"":8,""Concat"":27,""Constant"":189,""ConstantOfShape"":3,""Div"":6,""Equal"":2,""Erf"":6,""Expand"":2,""Flatten"":1,""Gather"":22,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":28,""Range"":4,""Reshape"":28,""Shape"":21,""Softmax"":6,""Transpose"":24,""Unsqueeze"":61,""Where"":14},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[""batch"",""LayerNormalizationlast_hidden_state_dim_1"",768]}}",2026-08-08 15:32:00.289471-04
0c196faa435b3302,484,81920332,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":100,""int8"":72,""uint8"":4},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":176,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":484,""n_parameters"":81920332,""norm_type"":""layernorm"",""op_histogram"":{""Add"":63,""And"":2,""Cast"":40,""Concat"":1,""Constant"":88,""ConstantOfShape"":3,""DequantizeLinear"":2,""Div"":6,""DynamicQuantizeLinear"":24,""Equal"":2,""Erf"":6,""Expand"":2,""Flatten"":1,""Gather"":4,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":12,""MatMulInteger"":36,""Mul"":100,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":14},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,128,768]}}",2026-08-08 15:32:00.290474-04
7a8814059d4502cb,484,82003204,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":100,""int8"":72,""uint8"":4},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":176,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":484,""n_parameters"":82003204,""norm_type"":""layernorm"",""op_histogram"":{""Add"":63,""And"":2,""Cast"":40,""Concat"":1,""Constant"":88,""ConstantOfShape"":3,""DequantizeLinear"":2,""Div"":6,""DynamicQuantizeLinear"":24,""Equal"":2,""Erf"":6,""Expand"":2,""Flatten"":1,""Gather"":4,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":12,""MatMulInteger"":36,""Mul"":100,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":14},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,128,768]}}",2026-08-08 15:32:00.291454-04
a947ccbac1e3bffa,632,85798656,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":198},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":198,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":632,""n_parameters"":85798656,""norm_type"":""layernorm"",""op_histogram"":{""Add"":121,""Concat"":2,""Constant"":156,""ConstantOfShape"":2,""Conv"":1,""Div"":12,""Equal"":2,""Erf"":12,""Expand"":2,""GreaterOrEqual"":1,""IsNaN"":12,""LayerNormalization"":25,""MatMul"":96,""Mul"":50,""Reshape"":49,""Shape"":1,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":26},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,197,768]}}",2026-08-08 15:32:00.29245-04
09437f57ffe4f5c7,1013,85798656,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":198},""hidden_size"":null,""input_shapes"":{""pixel_values"":[""batch"",3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":198,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":1013,""n_parameters"":85798656,""norm_type"":""layernorm"",""op_histogram"":{""Add"":121,""Cast"":1,""Concat"":52,""Constant"":324,""ConstantOfShape"":2,""Conv"":1,""Div"":12,""Equal"":2,""Erf"":12,""Expand"":2,""Gather"":27,""GreaterOrEqual"":1,""IsNaN"":12,""LayerNormalization"":25,""MatMul"":96,""Mul"":50,""Range"":1,""Reshape"":51,""Shape"":30,""Slice"":1,""Softmax"":12,""Transpose"":49,""Unsqueeze"":103,""Where"":26},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[""batch"",""LayerNormalizationlast_hidden_state_dim_1"",""LayerNormalizationlast_hidden_state_dim_2""]}}",2026-08-08 15:32:00.293468-04
af46bf37715551b7,634,85798656,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float16"":198},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":198,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":634,""n_parameters"":85798656,""norm_type"":""layernorm"",""op_histogram"":{""Add"":121,""Cast"":2,""Concat"":2,""Constant"":156,""ConstantOfShape"":2,""Conv"":1,""Div"":12,""Equal"":2,""Erf"":12,""Expand"":2,""GreaterOrEqual"":1,""IsNaN"":12,""LayerNormalization"":25,""MatMul"":96,""Mul"":50,""Reshape"":49,""Shape"":1,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":26},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,197,768]}}",2026-08-08 15:32:00.29448-04
8d088efd526d26ed,902,85798806,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":198,""int64"":1,""int8"":146},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":345,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":902,""n_parameters"":85798806,""norm_type"":""layernorm"",""op_histogram"":{""Add"":122,""Cast"":73,""Concat"":2,""Constant"":156,""ConstantOfShape"":2,""ConvInteger"":1,""Div"":12,""DynamicQuantizeLinear"":49,""Equal"":2,""Erf"":12,""Expand"":2,""GreaterOrEqual"":1,""IsNaN"":12,""LayerNormalization"":25,""MatMul"":24,""MatMulInteger"":72,""Mul"":196,""Reshape"":50,""Shape"":1,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":26},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,197,768]}}",2026-08-08 15:32:00.295567-04
4b03d33549696428,902,85964550,mha,layernorm,"{""activation_fns"":[""Erf""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":198,""int64"":1,""int8"":146},""hidden_size"":null,""input_shapes"":{""pixel_values"":[1,3,224,224]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":345,""n_kv_heads"":12,""n_layers"":12,""n_nodes"":902,""n_parameters"":85964550,""norm_type"":""layernorm"",""op_histogram"":{""Add"":122,""Cast"":73,""Concat"":2,""Constant"":156,""ConstantOfShape"":2,""ConvInteger"":1,""Div"":12,""DynamicQuantizeLinear"":49,""Equal"":2,""Erf"":12,""Expand"":2,""GreaterOrEqual"":1,""IsNaN"":12,""LayerNormalization"":25,""MatMul"":24,""MatMulInteger"":72,""Mul"":196,""Reshape"":50,""Shape"":1,""Slice"":1,""Softmax"":12,""Transpose"":49,""Where"":26},""opset"":{""ai.onnx"":17},""output_shapes"":{""last_hidden_state"":[1,197,768]}}",2026-08-08 15:32:00.296621-04
e5a35afd05fecf53,342,66955010,mha,layernorm,"{""activation_fns"":[""Erf"",""Relu""],""attention_variant"":""mha"",""dtype_histogram"":{""float"":104},""hidden_size"":null,""input_shapes"":{""attention_mask"":[1,128],""input_ids"":[1,128]},""kv_cache_layout"":null,""n_heads"":12,""n_initializers"":104,""n_kv_heads"":12,""n_layers"":6,""n_nodes"":342,""n_parameters"":66955010,""norm_type"":""layernorm"",""op_histogram"":{""Add"":62,""And"":2,""Cast"":3,""Concat"":1,""Constant"":84,""ConstantOfShape"":2,""Div"":6,""Equal"":1,""Erf"":6,""Expand"":1,""Flatten"":1,""Gather"":5,""Gemm"":2,""GreaterOrEqual"":1,""IsNaN"":6,""LayerNormalization"":13,""MatMul"":48,""Mul"":26,""Relu"":1,""Reshape"":26,""Shape"":2,""Softmax"":6,""Transpose"":24,""Where"":13},""opset"":{""ai.onnx"":17},""output_shapes"":{""logits"":[1,2]}}",2026-08-08 15:32:00.297655-04
